      1 Acinetobacter radioresistens
      1 bacterium 28S514
      1 bacterium 4878K2-B23
      1 bacterium SCGC AAA071-N11;bacterium SCGC AAA163-D04;actinobacterium SCGC AAA163-G08
      1 Brochothrix thermosphacta
      1 Delftia tsuruhatensis
      1 Enterobacteriaceae bacterium
      1 Klebsiella variicola
      1 Lelliottia amnigena
      1 Mycoplasma wenyonii str. Massachusetts
      1 Photobacterium sp. LC12b
      1 Pseudomonas brassicacearum subsp. neoaurantiaca
      1 Pseudomonas gessardii
      1 Pseudomonas mendocina
      1 Pseudomonas sp. A6.10
      1 Pseudomonas sp. GmFRB092
      2 Acinetobacter sp.
      2 Bacillus sp. (in: Bacteria)
      2 bacterium
      2 bacterium 409
      2 Carnobacterium maltaromaticum
      2 Escherichia coli
      2 Parasassafras confertiflorum
      2 Photobacterium angustum
      2 Pseudomonas poae
      2 Staphylococcus sp.
      3 Acinetobacter johnsonii
      3 Pseudomonas sp.
      3 uncultured Mycoplasma sp.
      5 Bacillus sp. NSi03
      5 Pseudomonas graminis
      7 Pseudomonas fragi
      9 Philantomba maxwellii
      9 Photobacterium sp.
     10 Clostridium botulinum BKT015925
     10 Pseudomonas protegens
     11 Clostridium novyi
     14 Serratia liquefaciens
     18 Clostridium sp. AWRP
     21 Mycoplasma wenyonii
     24 Lactococcus piscium
     36 Pseudomonas putida
     48 Pseudomonas sp. TMW 2.1634
     53 Carnobacterium divergens
     76 Bos taurus
     77 uncultured bacterium
     92 Pseudomonas thivervalensis
    204 Clostridium botulinum
    315 Weissella sp. 26KH-42
    321 Photobacterium sp. QY26
   1535 Photobacterium kishitanii
   3005 Bos mutus
   3316 Photobacterium carnosum
   3318 Photobacterium phosphoreum
   3861 Lactobacillus algidus
