      1 Bacillus sp. NSi03
      1 bacterium aka29
      1 bacterium E1-26
      1 Cedecea sp. R11.24
      1 Enterobacteriaceae bacterium RR70
      1 Enterobacter soli
      1 Enterobacter sp. PR36
      1 Klebsiella sp.
      1 Klebsiella sp. E6
      1 Klebsiella sp. TNT2
      1 Pseudomonas fragi
      1 Pseudomonas putida
      2 bacterium spbL4type3-1
      2 Citrobacter braakii
      2 Enterobacter sp. PW3
      2 Klebsiella sp. SS82E
      2 Raoultella ornithinolytica
      2 Raoultella planticola
      2 Serratia sp. HX-A01
      2 uncultured Serratia sp.
      3 Citrobacter sp. 7JANF5-E-3
      3 Serratia proteamaculans
      3 Serratia sp. F7(2009)
      3 Yersinia ruckeri
      4 Lactococcus piscium
      4 Rahnella sp. R2
      4 Shewanella sp. XH39
      5 Buttiauxella warmboldiae
      5 Ewingella sp.
      5 gamma proteobacterium T13
      6 Aranicola sp. LYG01
      6 Cedecea davisae
      6 Pantoea agglomerans
      7 Enterobacter sp. UIWRF1247
      8 Enterobacter sp. MYb186
     11 uncultured Lelliottia sp.
     12 Citrobacter pasteurii
     12 Serratia sp. S11
     21 Serratia plymuthica
     23 uncultured Enterobacter sp.
     27 Klebsiella aerogenes
     32 Enterobacter sp.
     42 Serratia quinivorans
     52 Lactobacillus sakei
     58 Kluyvera sp.
     63 [Enterobacter] lignolyticus SCF1
     71 Carnobacterium divergens
     77 Hafnia alvei
     81 Citrobacter freundii
     88 Leclercia sp. W17
    266 Yersinia massiliensis
    321 uncultured bacterium
    522 Citrobacter werkmanii
    958 Raoultella sp.
   1697 Serratia sp.
   5640 Lelliottia amnigena
